POI 1,POI 2,Weight,Path Name,,,,ID 1,ID 2
Center Hall,Price Center,2,Student Services Center,TRUE,TRUE,TRUE,,
Center Hall,Revelle Residential Halls,3,Walkway,TRUE,TRUE,TRUE,,
Center Hall,Muir Residential Halls,3,Bike Path,TRUE,TRUE,TRUE,,
Muir Residential Halls,Solis Hall,3,Goody's Path,TRUE,TRUE,TRUE,,
Solis Hall,ERC Residential Halls,2,Goody's Path,TRUE,TRUE,TRUE,,
Rady School of Management,ERC Residential Halls,2,RIMAC Path,TRUE,TRUE,TRUE,,
Warren Residential Halls,Price Center,3,Warren Mall,TRUE,TRUE,TRUE,,
Warren Residential Halls,Pepper Canyon Hall,2,Path,TRUE,TRUE,TRUE,,
Pepper Canyon Hall,Sixth College Residential Halls,1,Path,TRUE,TRUE,TRUE,,
RIMAC,Peterson Hall,2,Ridge Walk,TRUE,TRUE,TRUE,,
ERC Residential Halls,RIMAC,2,Village Market,TRUE,TRUE,TRUE,,
Geisel Library,Cognitive Science Building,1,Walkway,TRUE,TRUE,TRUE,,
Geisel Library,Price Center,1,Library Walk,TRUE,TRUE,TRUE,,
RIMAC,Supercomputer Center,1,Ridge Walk,TRUE,TRUE,TRUE,,
64 Degrees,Galbraith Hall,1,Revelle Plaza,TRUE,TRUE,TRUE,,
64 Degrees,York Hall,1,Revelle Plaza,TRUE,TRUE,TRUE,,
64 Degrees,Pacific Hall,1,Path,FALSE,FALSE,TRUE,,
Hopkins Parking Structure,Warren Lecture Hall,5,Voigt Drive,FALSE,FALSE,TRUE,,
Galbraith Hall,York Hall,4,Revelle Plaza,TRUE,TRUE,TRUE,,
Meyer Hall,York Hall,1,Revelle Plaza,TRUE,TRUE,TRUE,,
Meyer Hall,Galbraith Hall,2,Revelle Plaza,TRUE,TRUE,TRUE,,
Meyer Hall,Urey Hall,1,Urey Hall,TRUE,TRUE,TRUE,,
Revelle Residential Halls,64 Degrees,1,Revelle Plaza,TRUE,TRUE,TRUE,,
Main Gym,AP&M,1,Ridge Walk,TRUE,TRUE,TRUE,,
AP&M,Peterson Hall,1,Ridge Walk,TRUE,FALSE,TRUE,,
AP&M,HSS - Humanities and Social Sciences,1,APM,TRUE,TRUE,TRUE,,
Geisel Library,Warren Lecture Hall,1,Warren Mall,TRUE,TRUE,TRUE,,
Geisel Library,Hopkins Parking Structure,2,Hopkins Lane,TRUE,TRUE,TRUE,,
Hopkins Parking Structure,RIMAC,1,Ridge Walk,TRUE,TRUE,TRUE,,
Rady School of Management,RIMAC,1,Ridge Walk,TRUE,TRUE,TRUE,,
Galbraith Hall,Keeling Apartments,2,Fleet Residential Halls,TRUE,TRUE,TRUE,,
HDH Administration Building,Keeling Apartments,1,Path,TRUE,TRUE,TRUE,,
Sixty-Four North,York Hall,1,Revelle Plaza,TRUE,TRUE,TRUE,,
Sixty-Four North,Galbraith Hall,1,Revelle Plaza,TRUE,TRUE,TRUE,,
Revelle Residential Halls,Sixty-Four North,1,Path,TRUE,TRUE,TRUE,,
Roger's Place and Market,Galbraith Hall,1,Revelle Plaza,TRUE,TRUE,TRUE,,
Roger's Place and Market,York Hall,1,Revelle Plaza,TRUE,TRUE,TRUE,,
Roger's Place and Market,Pacific Hall,1,Path,FALSE,FALSE,TRUE,,
Revelle Residential Halls,Roger's Place and Market,1,Path,TRUE,TRUE,TRUE,,
Urey Hall,64 Degrees,1,Revelle Plaza,TRUE,TRUE,TRUE,,
Urey Hall,Roger's Place and Market,1,Revelle Plaza,TRUE,TRUE,TRUE,,
Urey Hall,Sixty-Four North,1,Revelle Plaza,TRUE,TRUE,TRUE,,
Pacific Hall,Urey Hall,1,Fleet Residence Halls,FALSE,FALSE,TRUE,,
